City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,leh,34.1667,77.5833,11.06,52,93,1.88,IN,2023-06-12
79,atafu village,-8.5421,-172.5159,28.38,77,19,5.59,TK,2023-06-12
80,bumba,2.1833,22.4667,21.84,97,56,1.47,CD,2023-06-12
81,lebu,-37.6167,-73.65,10.36,75,0,7.81,CL,2023-06-12
82,duluth,46.7833,-92.1066,24.03,42,0,4.12,US,2023-06-12
83,coruripe,-10.1256,-36.1756,23.98,89,12,4.47,BR,2023-06-12
84,nombre de dios,23.85,-104.2333,33.75,9,1,2.84,MX,2023-06-12
85,sandnessjoen,66.0217,12.6316,11.29,94,100,6.17,NO,2023-06-12
86,ust-nera,64.5667,143.2,14.0,94,99,2.74,RU,2023-06-12
87,nova sintra,14.8667,-24.7167,21.84,84,70,6.86,CV,2023-06-12
88,colonia,50.9333,6.95,24.92,44,0,3.09,DE,2023-06-12
89,saipan,15.1355,145.701,28.39,100,40,4.92,MP,2023-06-12
90,hamilton,39.1834,-84.5333,21.25,64,40,7.2,US,2023-06-12
91,port lincoln,-34.7333,135.8667,13.23,67,46,10.02,AU,2023-06-12
92,padang,-0.9492,100.3543,25.76,87,52,1.74,ID,2023-06-12
93,avarua,-21.2078,-159.775,25.03,88,97,1.54,CK,2023-06-12
94,eyl,7.9803,49.8164,26.04,82,99,11.8,SO,2023-06-12
95,muleba,-1.8397,31.6544,22.0,62,92,0.71,TZ,2023-06-12
96,coxen hole,16.3244,-86.5366,32.6,70,20,5.14,HN,2023-06-12
97,utrik,11.2278,169.8474,27.58,82,87,8.12,MH,2023-06-12
98,wynyard,-41.0,145.7167,12.21,84,100,4.8,AU,2023-06-12
99,badger,64.8,-147.5333,16.14,39,75,7.72,US,2023-06-12
100,onega,63.9061,38.1404,13.37,61,99,3.88,RU,2023-06-12
101,karema,-6.8205,30.4389,22.5,66,53,1.85,TZ,2023-06-12
102,dos palos,36.9861,-120.6266,27.75,29,45,1.89,US,2023-06-12
103,bani walid,31.7566,13.9942,24.47,50,0,4.32,LY,2023-06-12
104,pacasmayo,-7.4006,-79.5714,23.5,72,0,8.35,PE,2023-06-12
105,hadibu,12.65,54.0333,28.09,78,100,7.76,YE,2023-06-12
106,rosamond,34.8641,-118.1634,26.9,44,0,9.77,US,2023-06-12
107,hithadhoo,-0.6,73.0833,28.24,74,90,1.15,MV,2023-06-12
108,loralai,30.3705,68.598,26.63,35,0,4.42,PK,2023-06-12
109,constantia,44.1833,28.65,15.39,78,36,7.95,RO,2023-06-12
110,west richland,46.3043,-119.3614,34.86,35,0,3.6,US,2023-06-12
111,cabo san lucas,22.8909,-109.9124,34.61,22,0,3.09,MX,2023-06-12
112,karratha,-20.7377,116.8463,18.46,43,0,5.82,AU,2023-06-12
113,puerto natales,-51.7236,-72.4875,6.25,61,40,3.6,CL,2023-06-12
114,longboat key,27.4125,-82.659,32.92,61,0,4.12,US,2023-06-12
115,carolina,18.3808,-65.9574,31.82,72,75,8.75,PR,2023-06-12
116,fort william,56.8165,-5.1121,20.17,76,100,2.03,GB,2023-06-12
117,naze,28.3667,129.4833,23.51,91,96,3.42,JP,2023-06-12
118,muroto-misakicho,33.2833,134.15,21.78,85,73,4.19,JP,2023-06-12
119,port mathurin,-19.6833,63.4167,25.3,65,85,7.58,MU,2023-06-12
120,launceston,-41.45,147.1667,8.42,94,100,2.06,AU,2023-06-12
121,pitanga,-24.7572,-51.7614,15.02,99,100,0.61,BR,2023-06-12
122,hobyo,5.3505,48.5268,25.99,86,99,12.63,SO,2023-06-12
123,valparaiso,-33.0393,-71.6273,14.44,67,0,4.63,CL,2023-06-12
124,san juan de miraflores,-12.1629,-76.9635,22.29,75,39,6.08,PE,2023-06-12
125,isafjordur,66.0755,-23.124,12.02,54,20,5.66,IS,2023-06-12
126,belozersk,60.0326,37.7957,10.68,68,45,3.68,RU,2023-06-12
127,hulan ergi,47.2042,123.6333,18.25,59,85,2.31,CN,2023-06-12
128,ancud,-41.8697,-73.8203,7.06,78,7,1.13,CL,2023-06-12
129,lorengau,-2.0226,147.2712,27.87,82,17,4.05,PG,2023-06-12
130,puerto pilon,9.3644,-79.7933,31.4,69,66,2.61,PA,2023-06-12
131,grenaa,56.4158,10.8783,18.12,76,6,4.86,DK,2023-06-12
132,klyuchi,52.2667,79.1667,15.12,84,80,3.59,RU,2023-06-12
133,dunedin,-45.8742,170.5036,10.45,77,100,2.24,NZ,2023-06-12
134,pisco,-13.7,-76.2167,24.03,57,0,14.4,PE,2023-06-12
135,tura,25.5198,90.2201,23.78,93,57,2.06,IN,2023-06-12
136,trincomalee,8.5711,81.2335,27.73,78,100,9.62,LK,2023-06-12
137,castillos,-34.1667,-53.8333,9.16,67,30,4.64,UY,2023-06-12
138,kontagora,10.3999,5.4695,24.52,78,99,0.46,NG,2023-06-12
139,stanley,54.868,-1.6985,16.52,77,0,2.06,GB,2023-06-12
140,tralee,52.2704,-9.7026,14.83,92,57,1.72,IE,2023-06-12
141,kailua-kona,19.6406,-155.9956,26.98,85,40,4.63,US,2023-06-12
142,whakatane,-37.9585,176.9854,10.49,74,1,4.11,NZ,2023-06-12
143,mumford,5.2618,-0.759,25.65,75,7,4.61,GH,2023-06-12
144,puerto baquerizo moreno,-0.9,-89.6,27.55,83,75,5.14,EC,2023-06-12
145,lihue,21.9789,-159.3672,27.58,77,100,5.66,US,2023-06-12
146,jamestown,42.097,-79.2353,13.9,83,100,7.2,US,2023-06-12
147,tazovsky,67.4667,78.7,0.83,97,100,8.36,RU,2023-06-12
148,jiaojiang,28.6803,121.4428,21.63,96,85,1.21,CN,2023-06-12
149,demyansk,57.643,32.466,10.89,69,12,2.5,RU,2023-06-12
150,severo-yeniseyskiy,60.3725,93.0408,8.32,59,100,2.6,RU,2023-06-12
151,holualoa,19.6228,-155.9522,24.91,85,40,4.63,US,2023-06-12
152,ballina,-28.8667,153.5667,11.55,90,9,1.76,AU,2023-06-12
153,greymouth,-42.4667,171.2,6.42,88,13,2.63,NZ,2023-06-12
154,kapsan-up,41.0903,128.2933,11.76,98,100,0.73,KP,2023-06-12
155,mtwara,-10.2667,40.1833,21.92,80,0,2.85,TZ,2023-06-12
156,laguna,38.421,-121.4238,25.17,52,0,4.63,US,2023-06-12
157,alvaro obregon,19.3733,-99.225,29.77,16,40,3.58,MX,2023-06-12
158,petrovsk-zabaykal'skiy,51.273,108.843,13.14,84,61,1.07,RU,2023-06-12
159,san luis de la loma,17.2706,-100.8939,32.41,57,34,5.28,MX,2023-06-12
160,udachny,66.4167,112.4,6.92,48,31,3.75,RU,2023-06-12
161,buncrana,55.1333,-7.45,17.87,93,100,1.49,IE,2023-06-12
162,portland,45.5234,-122.6762,30.87,50,20,1.79,US,2023-06-12
163,belmonte,-15.8631,-38.8828,23.46,82,0,2.65,BR,2023-06-12
164,nikolayevsk-on-amure,53.1406,140.73,9.5,94,100,1.21,RU,2023-06-12
165,petropavlovsk-kamchatsky,53.0452,158.6483,12.1,62,0,4.0,RU,2023-06-12
166,dalandzadgad,43.5708,104.425,18.71,29,3,4.13,MN,2023-06-12
167,kulhudhuffushi,6.6221,73.07,28.77,77,95,8.26,MV,2023-06-12
168,pontes e lacerda,-15.2261,-59.3353,19.31,83,100,2.25,BR,2023-06-12
169,inhambane,-23.865,35.3833,20.73,88,0,4.69,MZ,2023-06-12
170,sao joao da barra,-21.6403,-41.0511,25.05,88,18,4.96,BR,2023-06-12
171,bakchar,57.0186,82.0711,5.56,76,61,1.85,RU,2023-06-12
172,ierapetra,35.01,25.7353,23.97,71,100,0.45,GR,2023-06-12
173,fortuna,40.5982,-124.1573,17.18,84,0,6.69,US,2023-06-12
174,saint-philippe,-21.3585,55.7679,21.77,76,0,3.22,RE,2023-06-12
175,nguruka,-5.1092,31.0419,19.83,60,81,1.45,TZ,2023-06-12
176,tazacorte,28.629,-17.9293,23.42,73,75,6.17,ES,2023-06-12
177,nanfeng,23.7434,111.7959,24.94,72,36,0.18,CN,2023-06-12
178,kapuskasing,49.4169,-82.4331,21.05,56,100,3.09,CA,2023-06-12
179,villa gesell,-37.2639,-56.973,8.92,80,100,6.85,AR,2023-06-12
180,fale old settlement,-9.3852,-171.2468,28.35,77,11,6.11,TK,2023-06-12
181,zhigalovo,54.8097,105.1578,12.9,52,100,0.98,RU,2023-06-12
182,rakops,-21.0167,24.3333,16.79,21,0,6.0,BW,2023-06-12
183,orchomenos,38.4929,22.9796,19.43,75,98,1.58,GR,2023-06-12
184,arvayheer,46.2639,102.775,15.47,35,81,1.71,MN,2023-06-12
185,invercargill,-46.4,168.35,9.48,89,99,1.67,NZ,2023-06-12
186,henderson,36.0397,-114.9819,29.01,28,20,2.57,US,2023-06-12
187,kununurra,-15.7667,128.7333,17.99,82,90,0.0,AU,2023-06-12
188,kodiak,57.79,-152.4072,10.73,54,40,5.14,US,2023-06-12
189,san patricio,28.017,-97.5169,37.87,47,0,7.33,US,2023-06-12
190,sao felix do xingu,-6.6447,-51.995,27.81,63,6,1.26,BR,2023-06-12
191,alice springs,-23.7,133.8833,7.75,66,0,0.0,AU,2023-06-12
192,al harithah,30.7186,47.7208,34.98,26,0,3.09,IQ,2023-06-12
193,gizo,-8.103,156.8419,28.17,78,10,3.51,SB,2023-06-12
194,kovdor,67.5662,30.4758,15.09,55,100,7.19,RU,2023-06-12
195,vendome,47.8,1.0667,23.16,86,31,2.64,FR,2023-06-12
196,enewetak,11.3474,162.3373,27.69,83,28,8.42,MH,2023-06-12
197,adh dhayd,25.2881,55.8816,33.44,33,51,0.83,AE,2023-06-12
198,hauterive,46.0901,3.4459,17.42,97,100,1.54,FR,2023-06-12
199,velikiye luki,56.34,30.5452,10.34,68,5,2.07,RU,2023-06-12
200,ilebo,-4.3167,20.5833,23.0,83,88,1.02,CD,2023-06-12
201,sinabang,2.4803,96.3801,26.41,81,62,0.36,ID,2023-06-12
202,kerikeri,-35.2268,173.9474,7.17,94,4,2.48,NZ,2023-06-12
203,zhezqazghan,47.7833,67.7667,22.34,30,97,5.29,KZ,2023-06-12
204,sabang,5.8933,95.3214,28.53,75,97,8.32,ID,2023-06-12
205,najran,17.4924,44.1277,31.36,20,100,2.94,SA,2023-06-12
206,sciacca,37.5082,13.0881,21.13,71,21,3.34,IT,2023-06-12
207,shakhtinsk,49.71,72.5872,16.83,53,21,3.6,KZ,2023-06-12
208,mil'kovo,55.6078,37.7956,14.08,70,3,3.53,RU,2023-06-12
209,levuka,50.1834,-105.4011,27.85,21,40,3.6,CA,2023-06-12
210,uberaba,-19.7483,-47.9319,28.32,30,40,3.6,BR,2023-06-12
211,la lira,20.4667,-100.15,31.84,18,40,5.66,MX,2023-06-12
212,maintirano,-18.0667,44.0167,22.66,79,0,4.27,MG,2023-06-12
213,kimbe,-5.5502,150.1429,24.76,92,19,1.77,PG,2023-06-12
214,trinity beach,-16.7888,145.6968,21.94,93,75,1.54,AU,2023-06-12
215,kabinda,-6.1333,24.4833,23.34,43,98,0.67,CD,2023-06-12
216,ad dawadimi,24.5077,44.3924,28.64,17,6,3.26,SA,2023-06-12
217,darwin,-12.4611,130.8418,20.99,78,20,2.57,AU,2023-06-12
218,thurso,58.5927,-3.5259,13.81,87,100,1.78,GB,2023-06-12
219,mount pearl,47.5166,-52.7813,8.25,88,100,8.23,CA,2023-06-12
220,quesada,10.3238,-84.4271,30.34,71,99,2.88,CR,2023-06-12
221,barcin,52.8661,17.9463,17.4,51,58,2.28,PL,2023-06-12
222,port blair,11.6667,92.75,27.02,89,75,2.57,IN,2023-06-12
223,sao vicente,-23.9631,-46.3919,24.1,56,100,3.92,BR,2023-06-12
224,pangai,-19.8,-174.35,24.06,83,100,4.12,TO,2023-06-12
225,kisangani,0.5167,25.2,23.55,79,100,0.31,CD,2023-06-12
226,scituate,42.1959,-70.7259,27.37,63,0,3.6,US,2023-06-12
227,mount isa,-20.7333,139.5,8.87,76,40,0.0,AU,2023-06-12
228,barcelos,41.5388,-8.6151,20.38,89,4,0.6,PT,2023-06-12
229,talcahuano,-36.7167,-73.1167,15.82,44,0,5.66,CL,2023-06-12
230,dudinka,69.4058,86.1778,7.57,77,93,4.8,RU,2023-06-12
231,prado,-17.3411,-39.2208,23.2,80,0,3.23,BR,2023-06-12
232,sur,22.5667,59.5289,31.29,56,100,3.21,OM,2023-06-12
233,aykhal,66.0,111.5,8.49,53,39,4.02,RU,2023-06-12
234,chikwawa,-16.0335,34.8009,20.69,48,11,1.6,MW,2023-06-12
235,praia da vitoria,38.7333,-27.0667,22.14,88,40,2.6,PT,2023-06-12
236,pechora,65.1472,57.2244,6.15,69,100,4.95,RU,2023-06-12
237,al khawr,25.7667,51.3167,36.25,21,1,4.0,QA,2023-06-12
238,howrah,22.5892,88.3103,28.0,89,40,1.54,IN,2023-06-12
239,nichinan,31.6,131.3667,20.82,94,99,1.86,JP,2023-06-12
240,afaahiti,-17.75,-149.2833,27.93,75,52,8.25,PF,2023-06-12
241,bedesa,8.9,40.7833,18.76,78,99,1.0,ET,2023-06-12
242,agua dulce,18.1333,-94.1333,31.88,56,13,7.3,MX,2023-06-12
243,remire-montjoly,4.9167,-52.2667,30.02,70,20,5.14,GF,2023-06-12
244,shache,38.4167,77.2406,27.86,14,91,3.12,CN,2023-06-12
245,wanning,18.8003,110.3967,25.75,91,97,2.59,CN,2023-06-12
246,wailua homesteads,22.0669,-159.378,27.24,81,100,5.66,US,2023-06-12
247,neryungri,56.6709,124.6491,1.97,99,100,3.08,RU,2023-06-12
248,emmett,43.8735,-116.4993,28.44,46,74,3.0,US,2023-06-12
249,mejit,10.2753,170.8646,27.86,81,71,8.41,MH,2023-06-12
250,merizo village,13.2658,144.6691,28.31,82,76,7.06,GU,2023-06-12
251,kitchener,43.4254,-80.5112,15.2,93,100,6.17,CA,2023-06-12
252,cidade velha,14.9167,-23.6167,27.26,61,0,7.72,CV,2023-06-12
253,roma,43.2128,-75.4557,25.08,53,100,6.69,US,2023-06-12
254,nefteyugansk,61.0998,72.6035,5.01,77,90,4.54,RU,2023-06-12
255,ashland,40.8167,-82.2665,17.34,86,100,5.47,US,2023-06-12
256,arkhangel'sk,64.5401,40.5433,13.38,59,98,3.03,RU,2023-06-12
257,georgetown,5.4112,100.3354,28.96,87,20,2.06,MY,2023-06-12
258,ishigaki,24.3448,124.1572,26.07,100,75,4.63,JP,2023-06-12
259,ketchikan,55.3422,-131.6461,16.26,72,100,4.63,US,2023-06-12
260,tidjikja,18.5564,-11.4271,35.08,12,45,4.98,MR,2023-06-12
261,boyolangu,-8.1181,111.8935,23.9,92,73,3.03,ID,2023-06-12
262,qamdo,31.1667,97.2333,4.77,86,100,2.24,CN,2023-06-12
263,salinopolis,-0.6136,-47.3561,26.71,85,93,5.32,BR,2023-06-12
264,mutare,-18.9707,32.6709,14.54,41,35,1.27,ZW,2023-06-12
265,deqen,29.9618,90.7188,9.16,89,100,1.13,CN,2023-06-12
266,impfondo,1.6381,18.0667,22.57,95,100,0.65,CG,2023-06-12
267,goundam,16.4145,-3.6708,31.22,46,41,6.69,ML,2023-06-12
268,motygino,58.1831,94.7592,8.11,66,100,0.9,RU,2023-06-12
269,charlottetown,46.2352,-63.1267,24.29,56,20,3.09,CA,2023-06-12
270,caleta de carquin,-11.0925,-77.6267,22.55,71,12,6.82,PE,2023-06-12
271,kingston,17.997,-76.7936,32.91,63,20,10.29,JM,2023-06-12
272,nar'yan-mar,67.6713,53.087,8.74,90,100,5.52,RU,2023-06-12
273,at taj,24.2049,23.2857,35.24,13,0,5.13,LY,2023-06-12
274,susuman,62.7833,148.1667,19.95,50,100,1.46,RU,2023-06-12
275,santa elena de uairen,4.6167,-61.1333,24.67,72,34,2.48,VE,2023-06-12
276,marsh harbour,26.5412,-77.0636,27.86,75,86,8.8,BS,2023-06-12
277,ocher,57.8904,54.7202,5.57,72,4,1.31,RU,2023-06-12
278,amiens,49.9,2.3,21.55,89,82,2.59,FR,2023-06-12
279,bridgewater,44.3835,-64.5155,27.28,35,48,7.2,CA,2023-06-12
280,smara,26.7384,-11.6719,23.8,60,0,8.33,EH,2023-06-12
281,olonkinbyen,70.9221,-8.7187,1.24,88,95,6.78,SJ,2023-06-12
282,sassandra,4.95,-6.0833,24.87,81,62,2.96,CI,2023-06-12
283,mount gambier,-37.8333,140.7667,8.73,98,100,3.34,AU,2023-06-12
284,shalqar,47.8333,59.6,25.84,16,45,4.64,KZ,2023-06-12
285,jaguaribe,-5.8906,-38.6219,28.48,53,96,1.92,BR,2023-06-12
286,ulsteinvik,62.3432,5.8487,16.1,62,99,3.13,NO,2023-06-12
287,chonchi,-42.6128,-73.8092,8.56,89,15,1.18,CL,2023-06-12
288,puerto ayacucho,5.6639,-67.6236,28.48,79,97,0.65,VE,2023-06-12
289,oyem,1.5995,11.5793,20.25,99,95,1.26,GA,2023-06-12
290,magugpo poblacion,7.4478,125.8078,25.95,97,100,0.73,PH,2023-06-12
291,khandyga,62.6667,135.6,8.57,55,100,2.28,RU,2023-06-12
292,nemuro,43.3236,145.575,11.53,99,100,3.62,JP,2023-06-12
293,aral,40.5156,81.2636,27.18,23,17,3.61,CN,2023-06-12
294,vangaindrano,-23.35,47.6,18.87,95,11,2.1,MG,2023-06-12
295,new norfolk,-42.7826,147.0587,6.72,80,88,1.13,AU,2023-06-12
296,weatherford,32.7593,-97.7972,28.4,75,87,2.68,US,2023-06-12
297,soure,-0.7167,-48.5233,26.44,85,18,6.05,BR,2023-06-12
298,vernon,50.2581,-119.2691,32.64,28,10,2.57,CA,2023-06-12
299,luanda,-8.8368,13.2343,23.0,83,40,4.12,AO,2023-06-12
300,port moresby,-9.4431,147.1797,25.68,89,40,2.57,PG,2023-06-12
301,newman,37.3138,-121.0208,27.81,27,48,1.55,US,2023-06-12
302,mata-utu,-13.2816,-176.1745,28.29,76,58,7.16,WF,2023-06-12
303,vadso,70.0744,29.7487,15.49,50,0,3.09,NO,2023-06-12
304,san borja,-14.8167,-66.85,14.65,88,100,3.31,BO,2023-06-12
305,sittwe,20.15,92.9,27.0,86,97,4.52,MM,2023-06-12
306,zindah jan,34.3426,61.7468,25.74,12,0,3.0,AF,2023-06-12
307,san ignacio,17.1561,-89.0714,40.08,31,0,2.06,BZ,2023-06-12
308,jinchang,38.4953,102.1739,20.78,30,0,1.16,CN,2023-06-12
309,tucumcari,35.1717,-103.725,24.41,64,40,7.72,US,2023-06-12
310,cabedelo,-6.9811,-34.8339,26.37,84,0,4.96,BR,2023-06-12
311,antofagasta,-23.65,-70.4,16.6,76,20,4.63,CL,2023-06-12
312,burkburnett,34.0979,-98.5706,25.5,74,75,4.12,US,2023-06-12
313,camiri,-20.05,-63.5167,13.88,47,100,2.06,BO,2023-06-12
314,flying fish cove,-10.4217,105.6791,25.82,88,100,5.66,CX,2023-06-12
315,jiutai,44.1525,125.8328,11.19,80,30,1.07,CN,2023-06-12
316,al jawf,29.5,38.75,27.86,22,0,5.27,SA,2023-06-12
317,maumere,-8.6199,122.2111,25.14,76,87,4.0,ID,2023-06-12
318,kyosai,34.8503,128.5886,20.98,95,79,0.15,KR,2023-06-12
319,nantucket,41.2835,-70.0995,24.03,88,75,5.66,US,2023-06-12
320,vila velha,-20.3297,-40.2925,25.97,85,40,5.66,BR,2023-06-12
321,lata,40.1629,-8.3327,19.9,96,4,1.16,PT,2023-06-12
322,urzhar,47.093,81.6294,14.55,40,25,4.15,KZ,2023-06-12
323,chenzhou,25.8,113.0333,23.2,92,98,1.24,CN,2023-06-12
324,suva,-18.1416,178.4415,21.71,100,75,1.03,FJ,2023-06-12
325,jiuquan,39.7432,98.5174,18.16,24,0,1.36,CN,2023-06-12
326,el calafate,-50.3408,-72.2768,1.88,70,100,2.77,AR,2023-06-12
327,orsa,54.5153,30.4053,9.61,78,98,3.35,BY,2023-06-12
328,north platte,41.1239,-100.7654,23.4,46,0,2.68,US,2023-06-12
329,giddalur,15.35,78.9167,30.97,48,63,7.01,IN,2023-06-12
330,al mindak,20.1588,41.2834,22.78,33,7,2.47,SA,2023-06-12
331,marum,7.8286,123.4642,24.77,91,35,1.27,PH,2023-06-12
332,ishpeming,46.4885,-87.6676,10.53,92,100,2.85,US,2023-06-12
333,ocean shores,46.9737,-124.1563,21.64,78,0,5.14,US,2023-06-12
334,quebo,11.3333,-14.9333,26.66,86,95,0.21,GW,2023-06-12
335,ginir,7.1333,40.7,14.49,86,81,2.22,ET,2023-06-12
336,pukchil-lodongjagu,40.2019,125.7483,13.82,94,97,1.18,KP,2023-06-12
337,carnarvon,-24.8667,113.6333,14.72,46,0,7.21,AU,2023-06-12
338,dera ghazi khan,30.0561,70.6348,37.77,25,0,7.28,PK,2023-06-12
339,arraial do cabo,-22.9661,-42.0278,22.98,94,0,3.09,BR,2023-06-12
340,yuzhno-kurilsk,44.0306,145.8556,11.26,99,100,3.83,RU,2023-06-12
341,rio gallegos,-51.6226,-69.2181,6.03,61,0,11.32,AR,2023-06-12
342,itaituba,-4.2761,-55.9836,32.09,58,40,2.06,BR,2023-06-12
343,el granada,37.5027,-122.4694,25.89,72,100,5.14,US,2023-06-12
344,rabaul,-4.1967,152.1721,26.64,80,91,3.26,PG,2023-06-12
345,giado,31.9582,12.0203,24.29,38,0,2.86,LY,2023-06-12
346,montepuez,-13.1256,38.9997,15.56,77,5,1.89,MZ,2023-06-12
